CRN,M Start Time,M End Time,T Start Time,T End Time,W Start Time,W End Time,R Start Time,R End Time,F Start Time,F End Time,Course Code
30001,,,630,710,,,630,710,,,AAS 010
30001,,,1030,1080,,,,,,,AAS 010
30002,,,1090,1140,,,,,,,AAS 010
30002,,,630,710,,,630,710,,,AAS 010
30005,,,820,900,,,820,900,,,AAS 012
30005,,,,,970,1020,,,,,AAS 012
30006,,,820,900,,,820,900,,,AAS 012
30006,,,,,1030,1080,,,,,AAS 012
30007,,,820,900,,,820,900,,,AAS 012
30007,,,,,,,1030,1080,,,AAS 012
30008,,,820,900,,,820,900,,,AAS 012
30008,,,,,,,1090,1140,,,AAS 012
@,,,,,,,,,,,AAS 099
62088,,,1030,1080,,,,,,,AAS 100
62088,,,540,620,,,540,620,,,AAS 100
62089,,,1090,1140,,,,,,,AAS 100
62089,,,540,620,,,540,620,,,AAS 100
62090,,,,,1090,1140,,,,,AAS 100
62090,540,620,540,620,,,540,620,,,AAS 100
62091,,,540,620,,,540,620,,,AAS 100
62091,,,,,1150,1200,,,,,AAS 100
62092,,,,,,,1030,1080,,,AAS 100
62092,,,540,620,,,540,620,,,AAS 100
62093,,,,,,,1090,1140,,,AAS 100
62093,,,540,620,,,540,620,,,AAS 100
30021,850,960,,,850,960,,,,,AAS 107D
62731,,,1090,1140,,,1090,1140,,,AAS 130
62731,,,1150,1200,,,,,,,AAS 130
62731,,,,,,,,,,,AAS 130
62106,970,1080,,,970,1080,,,,,AAS 145B
62107,,,1000,1080,,,1000,1080,,,AAS 153
62653,,,730,840,,,730,840,,,AAS 155A
62111,600,710,,,600,710,,,,,AAS 176
62113,730,810,,,730,810,,,,,AAS 185
@,,,,,,,,,,,AAS 192
@,,,,,,,,,,,AAS 197T
@,,,,,,,,,,,AAS 198
@,,,,,,,,,,,AAS 199
@,,,,,,,,,,,AAS 299
30657,,,,,850,900,,,,,AGC 290
@,,,,,,,,,,,AGC 298
@,,,,,,,,,,,AGC 299
32452,970,1080,,,970,1080,,,,,ARE 018
@,,,,,,,,,,,ARE 098
@,,,,,,,,,,,ARE 099
32538,480,530,,,480,530,,,480,530,ARE 100A
32538,,,1030,1080,,,,,,,ARE 100A
32539,480,530,,,480,530,,,480,530,ARE 100A
32539,,,1090,1140,,,,,,,ARE 100A
32540,480,530,,,480,530,,,480,530,ARE 100A
32540,,,1030,1080,,,,,,,ARE 100A
32541,480,530,,,480,530,,,480,530,ARE 100A
32541,,,1090,1140,,,,,,,ARE 100A
32542,480,530,,,480,530,,,480,530,ARE 100A
32542,,,,,1030,1080,,,,,ARE 100A
32543,480,530,,,480,530,,,480,530,ARE 100A
32543,,,,,1090,1140,,,,,ARE 100A
32544,,,1090,1170,,,1090,1170,,,ARE 100B
32544,,,,,1030,1080,,,,,ARE 100B
32545,,,,,1090,1140,,,,,ARE 100B
32545,,,1090,1170,,,1090,1170,,,ARE 100B
32546,,,,,1030,1080,,,,,ARE 100B
