CRN,M Start Time,M End Time,T Start Time,T End Time,W Start Time,W End Time,R Start Time,R End Time,F Start Time,F End Time,Course Code
20001,,,1030,1080,,,,,,,AAS 010
20001,,,630,710,,,630,710,,,AAS 010
20002,,,1090,1140,,,,,,,AAS 010
20002,,,630,710,,,630,710,,,AAS 010
20007,730,840,,,730,840,,,,,AAS 016
53165,,,540,620,,,540,620,,,AAS 050
53165,,,970,1020,,,,,,,AAS 050
53166,,,1030,1080,,,,,,,AAS 050
53166,,,540,620,,,540,620,,,AAS 050
53167,,,540,620,,,540,620,,,AAS 050
53167,,,,,,,1030,1080,,,AAS 050
53168,,,,,,,1090,1140,,,AAS 050
53168,,,540,620,,,540,620,,,AAS 050
20008,970,1080,,,970,1080,,,,,AAS 080
@,,,,,,,,,,,AAS 099
53170,,,850,960,,,850,960,,,AAS 101
20017,850,960,,,850,960,,,,,AAS 107A
53169,,,730,840,,,730,840,,,AAS 107B
20018,600,710,,,600,710,,,,,AAS 107C
@,,,,,,,,,,,AAS 192
@,,,,,,,,,,,AAS 197T
@,,,,,,,,,,,AAS 198
@,,,,,,,,,,,AAS 199
20057,,,910,1080,,,,,,,AAS 202
@,,,,,,,,,,,AAS 298A
@,,,,,,,,,,,AAS 298B
@,,,,,,,,,,,AAS 299
20616,970,1020,,,,,,,,,AGC 290
20617,,,,,970,1080,,,,,AGC 290
@,,,,,,,,,,,AGC 298
@,,,,,,,,,,,AGC 299
22383,970,1080,,,970,1080,,,,,ARE 018
@,,,,,,,,,,,ARE 098
@,,,,,,,,,,,ARE 099
22466,,,1090,1140,,,,,,,ARE 100A
22466,,,540,620,,,540,620,,,ARE 100A
22467,,,1150,1200,,,,,,,ARE 100A
22467,,,540,620,,,540,620,,,ARE 100A
22468,,,,,1090,1140,,,,,ARE 100A
22468,,,540,620,,,540,620,,,ARE 100A
22469,,,,,1150,1200,,,,,ARE 100A
22469,,,540,620,,,540,620,,,ARE 100A
22470,,,,,1030,1080,,,,,ARE 100A
22470,,,540,620,,,540,620,,,ARE 100A
22471,,,,,1090,1140,,,,,ARE 100A
22471,,,540,620,,,540,620,,,ARE 100A
22472,,,1030,1080,,,,,,,ARE 100A
22472,,,540,620,,,540,620,,,ARE 100A
22473,,,1090,1140,,,,,,,ARE 100A
22473,,,540,620,,,540,620,,,ARE 100A
22474,,,1150,1200,,,,,,,ARE 100A
22474,,,540,620,,,540,620,,,ARE 100A
22475,,,1090,1140,,,,,,,ARE 100A
22475,,,540,620,,,540,620,,,ARE 100A
22476,,,,,1030,1080,,,,,ARE 100A
22476,,,540,620,,,540,620,,,ARE 100A
22477,,,,,1090,1140,,,,,ARE 100A
22477,,,540,620,,,540,620,,,ARE 100A
22478,,,1090,1140,,,,,,,ARE 100B
22478,,,910,990,,,910,990,,,ARE 100B
22479,,,1150,1200,,,,,,,ARE 100B
22479,,,910,990,,,910,990,,,ARE 100B
22480,,,910,990,,,910,990,,,ARE 100B
22480,,,,,1030,1080,,,,,ARE 100B
22481,,,,,1090,1140,,,,,ARE 100B
22481,,,910,990,,,910,990,,,ARE 100B
22482,,,,,1030,1080,,,,,ARE 100B
22482,,,910,990,,,910,990,,,ARE 100B
22483,,,,,1090,1140,,,,,ARE 100B
22483,,,910,990,,,910,990,,,ARE 100B
22484,1030,1080,,,,,,,,,ARE 106
22484,660,710,,,660,710,,,660,710,ARE 106
22485,1090,1140,,,,,,,,,ARE 106
22485,660,710,,,660,710,,,660,710,ARE 106
22486,,,1090,1140,,,,,,,ARE 106
22486,660,710,,,660,710,,,660,710,ARE 106
22487,,,1150,1200,,,,,,,ARE 106
22487,660,710,,,660,710,,,660,710,ARE 106
22488,1090,1140,,,,,,,,,ARE 106
22488,660,710,,,660,710,,,660,710,ARE 106
22489,1150,1200,,,,,,,,,ARE 106
22489,660,710,,,660,710,,,660,710,ARE 106
22490,970,1080,,,970,1080,,,,,ARE 112
22491,,,820,900,,,820,900,,,ARE 115A
22491,,,1090,1140,,,,,,,ARE 115A
22492,,,820,900,,,820,900,,,ARE 115A
22492,,,1150,1200,,,,,,,ARE 115A
22493,,,820,900,,,820,900,,,ARE 115A
22493,,,1090,1140,,,,,,,ARE 115A
22494,,,820,900,,,820,900,,,ARE 115A
22494,,,1150,1200,,,,,,,ARE 115A
22495,,,820,900,,,820,900,,,ARE 115A
22495,,,,,1090,1140,,,,,ARE 115A
22496,,,820,900,,,820,900,,,ARE 115A
22496,,,,,1150,1200,,,,,ARE 115A
22497,,,,,1090,1140,,,,,ARE 115A
22497,,,820,900,,,820,900,,,ARE 115A
22498,,,820,900,,,820,900,,,ARE 115A
22498,,,,,1150,1200,,,,,ARE 115A
53421,,,820,900,,,820,900,,,ARE 115A
53421,,,,,1030,1080,,,,,ARE 115A
53422,,,820,900,,,820,900,,,ARE 115A
53422,,,,,1090,1140,,,,,ARE 115A
53481,,,820,900,,,820,900,,,ARE 115B
53481,1030,1080,,,,,,,,,ARE 115B
53482,,,820,900,,,820,900,,,ARE 115B
53482,1090,1140,,,,,,,,,ARE 115B
53483,,,820,900,,,820,900,,,ARE 115B
53483,,,,,1030,1080,,,,,ARE 115B
53485,,,820,900,,,820,900,,,ARE 115B
53485,,,,,1090,1140,,,,,ARE 115B
53486,,,820,900,,,820,900,,,ARE 115B
53486,,,,,,,1030,1080,,,ARE 115B
53488,,,820,900,,,820,900,,,ARE 115B
53488,,,,,,,1090,1140,,,ARE 115B
53322,970,1080,,,970,1080,,,,,ARE 118
22499,1090,1200,,,1090,1200,,,,,ARE 119
22506,600,680,,,600,680,,,,,ARE 138
22506,690,710,,,690,710,,,,,ARE 138
22507,,,,,1030,1080,,,,,ARE 139
22507,,,630,710,,,630,710,,,ARE 139
22508,,,,,1090,1140,,,,,ARE 139
22508,,,630,710,,,630,710,,,ARE 139
53493,,,630,710,,,630,710,,,ARE 139
53493,,,1030,1080,,,,,,,ARE 139
53494,,,1090,1140,,,,,,,ARE 139
53494,,,630,710,,,630,710,,,ARE 139
22509,480,530,,,480,530,,,480,530,ARE 142
22510,,,730,840,,,730,840,,,ARE 143
53566,,,1030,1080,,,,,,,ARE 146
53566,,,820,900,,,820,900,,,ARE 146
53567,,,1090,1140,,,,,,,ARE 146
53567,,,820,900,,,820,900,,,ARE 146
53568,,,820,900,,,820,900,,,ARE 146
53568,,,,,1030,1080,,,,,ARE 146
53569,,,820,900,,,820,900,,,ARE 146
53569,,,,,1090,1140,,,,,ARE 146
22511,,,630,710,,,630,710,,,ARE 155
22511,,,1030,1080,,,,,,,ARE 155
22512,,,630,710,,,630,710,,,ARE 155
22512,,,1090,1140,,,,,,,ARE 155
22513,,,630,710,,,630,710,,,ARE 155
22513,,,1090,1140,,,,,,,ARE 155
22514,,,630,710,,,630,710,,,ARE 155
22514,,,1150,1200,,,,,,,ARE 155
22515,,,630,710,,,630,710,,,ARE 155
22515,,,,,1030,1080,,,,,ARE 155
22516,,,630,710,,,630,710,,,ARE 155
22516,,,,,1090,1140,,,,,ARE 155
22519,790,840,,,790,840,,,790,840,ARE 155
22519,1030,1080,,,,,,,,,ARE 155
22520,790,840,,,790,840,,,790,840,ARE 155
22520,1090,1140,,,,,,,,,ARE 155
22521,790,840,,,790,840,,,790,840,ARE 155
22521,,,1030,1080,,,,,,,ARE 155
22522,790,840,,,790,840,,,790,840,ARE 155
22522,,,1090,1140,,,,,,,ARE 155
53452,790,840,,,790,840,,,790,840,ARE 155
53452,1030,1080,,,,,,,,,ARE 155
53453,1090,1140,,,,,,,,,ARE 155
53453,790,840,,,790,840,,,790,840,ARE 155
22523,,,450,530,,,450,530,,,ARE 171
22523,,,,,1030,1080,,,,,ARE 171
22524,,,450,530,,,450,530,,,ARE 171
22524,,,,,1090,1140,,,,,ARE 171
22525,,,,,1090,1140,,,,,ARE 171
22525,,,450,530,,,450,530,,,ARE 171
22526,,,,,1150,1200,,,,,ARE 171
22526,,,450,530,,,450,530,,,ARE 171
53438,,,1030,1080,,,,,,,ARE 171
53438,,,450,530,,,450,530,,,ARE 171
53439,,,1090,1140,,,,,,,ARE 171
53439,,,450,530,,,450,530,,,ARE 171
53442,,,1030,1080,,,,,,,ARE 172
53442,,,730,810,,,730,810,,,ARE 172
53443,,,1090,1140,,,,,,,ARE 172
